Price,Close,High,Low,Open,Volume
Ticker,AIG,AIG,AIG,AIG,AIG
Date,,,,,
2000-01-03,816.501708984375,843.9966305071363,809.1369914406827,841.5417486329287,166575
2000-01-04,774.768310546875,802.2632329550759,772.313428593611,797.353469048548,364095
2000-01-05,776.6093139648438,785.078737493147,759.0567645392921,774.7681349369518,266580
2000-01-06,800.29931640625,814.046740966915,773.7863337121652,777.7141590264882,279150
2000-01-07,860.198486328125,863.6353764001434,811.1003752352644,814.0462604624156,328733
2000-01-10,844.9783935546875,861.6717738305018,841.0505689866949,860.1988306273728,163020
2000-01-11,831.2308959960938,855.7799231748745,816.9923983802995,846.4512597632556,194288
2000-01-12,856.2710571289062,869.0365416770293,832.703964473258,832.703964473258,244485
2000-01-13,879.8380126953125,888.1846660699936,856.2709237116974,856.2709237116974,233453
2000-01-14,896.0404052734375,899.4772245420155,876.8921450703195,882.2929124359773,283380
2000-01-18,851.3612060546875,882.2930145791659,847.4333813268524,881.8020095177898,249075
2000-01-19,834.6677856445312,863.6357163962978,831.2309661405318,853.3251140421904,237038
2000-01-20,827.5487670898438,842.0326633263431,809.1369736357615,840.5597198500166,219450
2000-01-21,816.501708984375,826.8123135455442,801.7722738969903,826.8123135455442,224115
2000-01-24,797.8438110351562,822.883832933895,788.5152233731682,816.5011302011701,168660
2000-01-25,808.6458129882812,814.5375857605092,794.4073860957486,796.8622674438254,170250
2000-01-26,828.7757568359375,830.2486995743432,807.1726206463311,810.6095110096218,213413
2000-01-27,826.8123779296875,832.2131472419314,811.1009313323087,829.7582651765615,203183
2000-01-28,801.2811279296875,821.9023334278779,793.4254066233577,821.9023334278779,228300
2000-01-31,819.9384765625,819.9384765624999,786.5517831490861,805.2090424211312,208890
2000-02-01,804.2268676757812,816.5014164918891,793.4252618407647,814.0464635760411,210345
2000-02-02,803.7363891601562,812.5740528354216,795.3897307738805,808.1552209977889,152100
2000-02-03,795.8803100585938,803.245025845931,770.8402763816472,797.3532532160611,377618
2000-02-04,791.4615478515625,804.2270323275195,784.0968314383069,800.7901406943139,139298
2000-02-07,766.912353515625,785.0786758037159,764.4574723116858,784.587670794508,253178
2000-02-08,753.6561279296875,768.3855641232389,731.0710403802921,757.0930203485411,564218
2000-02-09,764.4573974609375,766.9122784245105,750.2189727985445,760.03856857388,357413
2000-02-10,740.8907470703125,774.7684551868476,732.5440893341366,773.7865166064403,325793
2000-02-11,744.8179931640625,752.1827065833545,736.9623467975039,748.7458882683712,233963
2000-02-14,735.98046875,755.6197320225116,733.525587811327,749.2369552767108,179010
2000-02-15,757.5838012695312,763.9665071166182,730.5798189346856,738.4355398861625,307455
2000-02-16,738.4356079101562,750.219154462334,730.5798862350176,746.2912576642344,248730
2000-02-17,727.6340942382812,749.7282468973384,721.7423201958661,749.2372417534472,225473
2000-02-18,702.5943603515625,724.6885226267689,695.2296395931604,720.7606955293214,416970
2000-02-22,681.4815673828125,701.1208303004839,671.6619718844972,697.6839395116052,446093
2000-02-23,671.662109375,680.0087636610918,664.297393263432,673.6260576451034,474248
2000-02-24,653.0047607421875,670.6800769253952,650.058874711653,669.6980669678532,394463
2000-02-25,656.9326171875,669.207166893386,653.0047929268782,654.9686690966645,285975
2000-02-28,684.9185180664062,698.1750055128529,667.7342064613617,667.7342064613617,367500
