model,1769120725.034,0.43,0.2537,0.55,0.249
model,1769120725.32,0.47,0.2559,0.5,0.25
model,1769120725.601,0.5,0.25,0.48,0.2503
model,1769120725.884,0.49,0.2502,0.53,0.25
model,1769120726.204,0.54,0.2497,0.43,0.2515
model,1769120726.587,0.5,0.25,0.52,0.2494
model,1769120726.908,0.53,0.249,0.44,0.2528
model,1769120727.199,0.52,0.2492,0.47,0.2522
model,1769120727.486,0.53,0.2477,0.45,0.256
model,1769120727.783,0.45,0.2564,0.53,0.2477
model,1769120728.079,0.5,0.2504,0.56,0.2478
model,1769120728.429,0.53,0.248,0.49,0.2503
model,1769120728.737,0.49,0.2503,0.43,0.2509
model,1769120729.026,0.41,0.2512,0.5,0.2499
model,1769120729.331,0.46,0.2499,0.47,0.2503
model,1769120729.634,0.51,0.2496,0.5,0.2499
model,1769120729.924,0.49,0.251,0.55,0.2484
model,1769120730.225,0.47,0.251,0.54,0.249
model,1769120730.543,0.51,0.25,0.46,0.2509
model,1769120730.832,0.48,0.2507,0.49,0.2503
model,1769120731.105,0.5,0.25,0.49,0.2499
model,1769120731.389,0.47,0.2504,0.44,0.2508
model,1769120731.712,0.5,0.2499,0.57,0.2492
model,1769120732.002,0.58,0.2487,0.52,0.2493
model,1769120732.259,0.5,0.2498,0.61,0.248
model,1769120732.517,0.46,0.2492,0.55,0.2478
model,1769120732.778,0.53,0.2491,0.41,0.2497
model,1769120733.036,0.52,0.2498,0.51,0.2497
model,1769120733.281,0.57,0.249,0.58,0.248
model,1769120733.56,0.51,0.2484,0.52,0.2482
model,1769120733.86,0.53,0.2477,0.58,0.2467
model,1769120734.14,0.39,0.2547,0.53,0.2473
model,1769120734.42,0.4,0.2516,0.59,0.2455
model,1769120734.709,0.53,0.2496,0.58,0.2471
model,1769120734.985,0.58,0.2464,0.53,0.2459
model,1769120735.27,0.54,0.2468,0.49,0.2509
model,1769120735.551,0.52,0.2482,0.5,0.2494
model,1769120735.838,0.58,0.2455,0.58,0.2406
model,1769120736.125,0.47,0.2471,0.46,0.2571
model,1769120736.419,0.48,0.2519,0.6,0.2446
model,1769120736.7,0.48,0.2493,0.47,0.2509
model,1769120736.97,0.64,0.2457,0.44,0.2526
model,1769120737.265,0.53,0.2477,0.53,0.2474
model,1769120737.551,0.52,0.2486,0.57,0.243
model,1769120737.855,0.53,0.2484,0.47,0.2513
model,1769120738.146,0.59,0.2418,0.57,0.2488
model,1769120738.428,0.5,0.2472,0.57,0.2417
model,1769120738.712,0.61,0.2377,0.43,0.2619
model,1769120738.977,0.61,0.2376,0.59,0.229
model,1769120739.24,0.47,0.271,0.6,0.2415
model,1769120739.505,0.6,0.2393,0.59,0.2467
model,1769120739.766,0.59,0.2391,0.66,0.2301
model,1769120740.024,0.66,0.2317,0.5,0.2479
model,1769120740.273,0.69,0.2235,0.53,0.2596
model,1769120740.538,0.57,0.2392,0.61,0.2376
model,1769120740.808,0.56,0.2383,0.54,0.2417
model,1769120741.065,0.63,0.2409,0.64,0.2383
model,1769120741.328,0.6,0.2351,0.64,0.2338
model,1769120741.59,0.6,0.2421,0.6,0.242
model,1769120741.848,0.61,0.2351,0.54,0.2537
model,1769120742.1,0.5,0.2681,0.51,0.266
model,1769120742.361,0.5,0.2583,0.59,0.2361
model,1769120742.619,0.56,0.2377,0.58,0.2301
model,1769120742.887,0.61,0.2338,0.65,0.2358
model,1769120743.159,0.59,0.246,0.64,0.232
model,1769120743.413,0.48,0.2605,0.54,0.2572
model,1769120743.685,0.47,0.2636,0.63,0.2254
model,1769120743.965,0.58,0.2323,0.59,0.2345
model,1769120744.219,0.65,0.2251,0.59,0.234
model,1769120744.479,0.64,0.2328,0.59,0.2421
model,1769120744.734,0.6,0.2314,0.56,0.2389
model,1769120745.018,0.65,0.2209,0.59,0.2509
model,1769120745.283,0.61,0.2287,0.53,0.247
model,1769120745.529,0.51,0.2505,0.56,0.2361
model,1769120745.799,0.55,0.2436,0.51,0.2543
model,1769120746.065,0.6,0.2454,0.59,0.2448
model,1769120746.332,0.61,0.243,0.69,0.2322
model,1769120746.603,0.65,0.2325,0.65,0.2201
model,1769120746.854,0.65,0.233,0.56,0.2452
model,1769120747.105,0.62,0.2416,0.67,0.2189
model,1769120747.355,0.6,0.2341,0.61,0.2295
model,1769120747.555,0.58,0.2476,0.6,0.2392
